year,africa,asia,europe,latin_america,north_america,oceania
1950,4.3,32.8,37.9,9.3,14.7,1.1
1951,4.4,33.1,37.5,9.4,14.6,1.1
1952,4.4,33.4,37.1,9.6,14.5,1.1
1953,4.5,33.6,36.7,9.7,14.5,1.1
1954,4.6,33.8,36.3,9.8,14.4,1.1
1955,4.7,34.0,35.9,10.0,14.4,1.1
1956,4.8,34.2,35.5,10.1,14.3,1.0
1957,4.9,34.4,35.1,10.2,14.2,1.0
1958,5.0,34.7,34.8,10.4,14.2,1.0
1959,5.1,34.9,34.4,10.5,14.1,1.0
1960,5.2,35.1,34.0,10.7,14.0,1.0
1961,5.3,35.4,33.6,10.8,13.9,1.0
1962,5.3,35.7,33.3,10.9,13.8,1.0
1963,5.4,36.0,32.9,11.1,13.6,1.0
1964,5.5,36.3,32.5,11.2,13.4,1.0
1965,5.6,36.4,32.3,11.4,13.3,1.0
1966,5.7,36.5,32.0,11.5,13.2,1.0
1967,5.8,36.7,31.7,11.7,13.1,1.0
1968,5.9,36.9,31.4,11.9,12.9,1.0
1969,6.0,37.1,31.0,12.0,12.8,1.0
1970,6.1,37.4,30.7,12.2,12.6,1.0
1971,6.2,37.6,30.3,12.3,12.5,1.0
1972,6.3,37.9,30.0,12.5,12.3,1.0
1973,6.5,38.3,29.6,12.6,12.1,1.0
1974,6.6,38.6,29.2,12.7,11.9,1.0
1975,6.7,38.9,28.9,12.9,11.7,1.0
1976,6.8,39.2,28.5,13.0,11.5,1.0
1977,7.0,39.4,28.1,13.1,11.3,1.0
1978,7.1,39.8,27.7,13.2,11.2,1.0
1979,7.2,40.3,27.3,13.3,11.0,1.0
1980,7.3,40.8,26.8,13.4,10.8,0.9
1981,7.4,41.4,26.3,13.4,10.6,0.9
1982,7.5,41.9,25.8,13.5,10.4,0.9
1983,7.7,42.3,25.3,13.6,10.3,0.9
1984,7.8,42.8,24.8,13.6,10.1,0.9
1985,7.9,43.2,24.4,13.6,10.0,0.9
1986,8.1,43.6,23.9,13.7,9.8,0.9
1987,8.2,44.1,23.4,13.7,9.7,0.9
1988,8.3,44.5,23.0,13.7,9.6,0.9
1989,8.5,44.9,22.6,13.7,9.4,0.8
1990,8.6,45.3,22.1,13.7,9.3,0.8
1991,8.7,45.7,21.7,13.8,9.2,0.8
1992,8.9,46.1,21.3,13.8,9.2,0.8
1993,9.0,46.5,20.9,13.8,9.1,0.8
1994,9.1,46.8,20.4,13.8,9.0,0.8
1995,9.2,47.2,20.0,13.8,9.0,0.8
1996,9.3,47.5,19.6,13.8,8.9,0.8
1997,9.4,47.8,19.2,13.9,8.9,0.8
1998,9.5,48.1,18.8,13.9,8.8,0.8
1999,9.7,48.5,18.5,13.9,8.8,0.8
2000,9.8,48.8,18.1,13.9,8.7,0.8
2001,9.9,49.1,17.7,13.8,8.7,0.8
2002,10.0,49.6,17.4,13.8,8.6,0.8
2003,10.1,49.9,17.1,13.7,8.5,0.8
2004,10.2,50.3,16.7,13.6,8.4,0.7
2005,10.3,50.7,16.4,13.5,8.3,0.7
2006,10.5,51.0,16.1,13.4,8.2,0.7
2007,10.6,51.3,15.9,13.4,8.1,0.7
2008,10.8,51.6,15.6,13.3,8.0,0.7
2009,10.9,51.9,15.3,13.2,7.9,0.7
2010,11.1,52.2,15.1,13.1,7.8,0.7
2011,11.2,52.5,14.8,13.0,7.8,0.7
2012,11.4,52.7,14.5,12.9,7.7,0.7
2013,11.6,53.0,14.3,12.9,7.6,0.7
2014,11.7,53.2,14.1,12.8,7.5,0.7
2015,11.9,53.4,13.8,12.7,7.5,0.7
2016,12.1,53.6,13.6,12.6,7.4,0.7
2017,12.3,53.7,13.4,12.6,7.3,0.7
2018,12.5,53.9,13.2,12.5,7.3,0.7
2019,12.7,54.0,13.0,12.4,7.2,0.7
2020,12.9,54.1,12.8,12.4,7.1,0.7
2021,13.1,54.2,12.6,12.3,7.1,0.7
2022,13.3,54.3,12.4,12.2,7.0,0.7
2023,13.5,54.3,12.3,12.2,7.0,0.7
2024,13.8,54.4,12.1,12.1,7.0,0.7
2025,14.0,54.4,11.9,12.1,6.9,0.7
2026,14.2,54.5,11.8,12.0,6.9,0.7
2027,14.5,54.5,11.6,11.9,6.8,0.7
2028,14.7,54.5,11.5,11.9,6.8,0.7
2029,15.0,54.4,11.3,11.8,6.8,0.7
2030,15.2,54.4,11.2,11.8,6.7,0.7
