year,Africa,Asia,Europe,Latin America,North America,Oceania
1950,32034,244574,282965,69335,109667,7906
1951,33594,255124,288624,72539,112328,8177
1952,35262,265045,294554,75917,115277,8431
1953,37043,275185,300635,79451,118430,8677
1954,38942,285661,306867,83138,121752,8925
1955,40963,296531,313280,86976,125205,9179
1956,43110,307837,319766,90965,128749,9444
1957,45383,319614,326277,95107,132295,9723
1958,47787,331951,332909,99421,135867,10009
1959,50343,344772,339589,103922,139432,10297
1960,53045,358012,346341,108633,142881,10584
1961,55448,371853,353358,113501,146023,10868
1962,57958,386612,360476,118598,149132,11153
1963,60618,402087,367826,123885,152159,11446
1964,63426,418453,375113,129338,155103,11756
1965,66409,430382,382259,134807,157961,12092
1966,69470,443359,389147,140388,160728,12455
1967,72556,457612,395775,146088,163361,12846
1968,75787,472712,402131,151926,165927,13251
1969,79166,488403,408174,157916,168455,13653
1970,82640,504565,414173,164072,170791,14040
1971,86337,521149,420120,170430,172566,14410
1972,90229,538830,426022,176950,174213,14698
1973,94282,557854,431836,183575,175861,14966
1974,98472,578164,437585,190344,177525,15215
1975,102894,596737,443146,197281,179212,15450
1976,107564,616340,448487,204376,180936,15666
1977,112378,635956,453753,211635,182731,15843
1978,117449,659009,458972,219039,184561,16013
1979,122541,686007,463871,226557,186416,16190
1980,127772,714386,468429,234195,188373,16383
1981,133393,744131,472823,241891,190601,16594
1982,139267,773979,476799,249593,192888,16823
1983,145448,803339,480624,257340,195213,17067
1984,151995,833825,484356,265184,197587,17323
1985,158901,865348,488068,273130,200017,17586
1986,166109,898104,491942,281142,202508,17859
1987,173479,931921,495588,289225,205027,18157
1988,181035,966461,500159,297388,207592,18461
1989,188807,1001308,503406,305612,210178,18762
1990,196923,1036247,505991,313876,212935,19059
1991,204820,1071224,508357,322092,216180,19332
1992,212854,1105952,510381,330296,219496,19625
1993,221004,1140795,512028,338523,222856,19916
1994,228991,1175869,513359,346797,226327,20206
1995,236904,1211260,514365,355089,229947,20497
1996,244855,1246830,515059,363324,233748,20789
1997,253027,1282513,515475,371642,237727,21090
1998,261343,1318608,515747,379951,241773,21395
1999,269908,1355227,516144,388151,245768,21702
2000,278770,1392740,516827,396276,249504,22013
2001,288342,1434891,517868,403858,252668,22336
2002,298302,1480516,519471,411235,255608,22654
2003,308662,1526880,521353,418498,258464,22982
2004,319441,1574032,523417,425690,261332,23331
2005,330742,1621843,525635,432804,264278,23711
2006,342528,1669525,528047,439842,267329,24127
2007,354797,1717471,530623,446805,270484,24572
2008,367684,1766092,533205,453730,273676,25033
2009,381061,1815201,535688,460663,276844,25488
2010,394940,1864836,537982,467642,279949,25924
2011,409305,1914898,540051,474682,282982,26334
2012,424176,1964946,541937,481757,285963,26723
2013,439529,2014763,543690,488832,288911,27099
2014,455345,2064211,545382,495857,291860,27473
2015,471602,2113137,547066,502793,294834,27853
2016,488296,2161443,548750,509626,297838,28240
2017,505429,2209078,550415,516362,300863,28631
2018,523004,2255992,552043,523006,303904,29026
2019,541028,2302157,553613,529567,306949,29422
2020,559507,2347541,555106,536052,309991,29818
2021,578441,2392094,556521,542457,313028,30213
2022,597831,2435768,557867,548772,316060,30608
2023,617684,2478546,559150,554989,319084,31003
2024,638010,2520426,560382,561097,322099,31397
2025,658814,2561409,561571,567089,325100,31791
2026,680098,2601473,562722,572958,328087,32183
2027,701864,2640603,563833,578701,331056,32575
2028,724112,2678804,564910,584313,334000,32966
2029,746847,2716087,565954,589792,336911,33357
2030,770068,2752457,566970,595134,339782,33747
