year,rank,country_code,country,city_code,city,latitude,longitude,population
1950,1,840,United States of America,23083,New York-Newark,40.72,-74.00,12.34
1950,2,392,Japan,21671,Tokyo,35.69,139.69,11.27
1950,3,826,United Kingdom,22860,London,51.51,-0.13,8.36
1950,4,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,7.01
1950,5,250,France,20985,Paris,48.85,2.35,6.28
1950,6,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,5.36
1950,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,5.10
1950,8,840,United States of America,22956,Chicago,41.85,-87.65,5.00
1950,9,356,India,21211,Kolkata (Calcutta),22.53,88.36,4.51
1950,10,156,China,20656,Shanghai,31.22,121.46,4.30
1950,11,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,4.05
1950,12,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,3.37
1950,13,276,Germany,204296,Berlin,52.52,13.41,3.34
1950,14,840,United States of America,23098,Philadelphia,39.95,-75.16,3.13
1950,15,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,3.03
1950,16,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,2.90
1950,17,356,India,21206,Mumbai (Bombay),19.07,72.88,2.86
1950,18,840,United States of America,22974,Detroit,42.39,-83.10,2.77
1950,19,840,United States of America,22939,Boston,42.35,-71.06,2.55
1950,20,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,2.49
1950,21,156,China,20689,Tianjin,39.11,117.19,2.47
1950,22,826,United Kingdom,22862,Manchester,53.48,-2.24,2.42
1950,23,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,2.33
1950,24,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,2.24
1950,25,826,United Kingdom,22835,Birmingham (West Midlands),52.48,-1.90,2.23
1950,26,156,China,20666,Shenyang,41.79,123.43,2.15
1950,27,380,Italy,21588,Roma (Rome),41.89,12.48,1.88
1950,28,380,Italy,21571,Milano (Milan),45.55,9.18,1.88
1950,29,840,United States of America,23130,San Francisco-Oakland,37.76,-122.44,1.86
1950,30,724,Spain,22525,Barcelona,41.39,2.16,1.81
1955,1,392,Japan,21671,Tokyo,35.69,139.69,13.71
1955,2,840,United States of America,23083,New York-Newark,40.72,-74.00,13.22
1955,3,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,8.62
1955,4,826,United Kingdom,22860,London,51.51,-0.13,8.28
1955,5,250,France,20985,Paris,48.85,2.35,6.80
1955,6,156,China,20656,Shanghai,31.22,121.46,5.85
1955,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,5.80
1955,8,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,5.75
1955,9,840,United States of America,22956,Chicago,41.85,-87.65,5.56
1955,10,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,5.15
1955,11,356,India,21211,Kolkata (Calcutta),22.53,88.36,5.06
1955,12,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,4.29
1955,13,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,3.69
1955,14,840,United States of America,23098,Philadelphia,39.95,-75.16,3.51
1955,15,356,India,21206,Mumbai (Bombay),19.07,72.88,3.43
1955,16,276,Germany,204296,Berlin,52.52,13.41,3.30
1955,17,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,3.14
1955,18,840,United States of America,22974,Detroit,42.39,-83.10,3.14
1955,19,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,3.10
1955,20,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,3.04
1955,21,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,3.03
1955,22,156,China,20689,Tianjin,39.11,117.19,2.76
1955,23,840,United States of America,22939,Boston,42.35,-71.06,2.68
1955,24,826,United Kingdom,22862,Manchester,53.48,-2.24,2.42
1955,25,156,China,20666,Shenyang,41.79,123.43,2.41
1955,26,156,China,20464,Beijing,39.91,116.40,2.36
1955,27,826,United Kingdom,22835,Birmingham (West Midlands),52.48,-1.90,2.28
1955,28,380,Italy,21588,Roma (Rome),41.89,12.48,2.14
1955,29,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,2.12
1955,30,724,Spain,22525,Barcelona,41.39,2.16,2.10
1960,1,392,Japan,21671,Tokyo,35.69,139.69,16.68
1960,2,840,United States of America,23083,New York-Newark,40.72,-74.00,14.16
1960,3,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,10.61
1960,4,826,United Kingdom,22860,London,51.51,-0.13,8.20
1960,5,250,France,20985,Paris,48.85,2.35,7.41
1960,6,156,China,20656,Shanghai,31.22,121.46,6.82
1960,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,6.60
1960,8,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,6.53
1960,9,840,United States of America,22956,Chicago,41.85,-87.65,6.18
1960,10,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,6.17
1960,11,356,India,21211,Kolkata (Calcutta),22.53,88.36,5.65
1960,12,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,5.48
1960,13,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,4.49
1960,14,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,4.30
1960,15,356,India,21206,Mumbai (Bombay),19.07,72.88,4.06
1960,16,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,3.97
1960,17,840,United States of America,23098,Philadelphia,39.95,-75.16,3.93
1960,18,156,China,20464,Beijing,39.91,116.40,3.90
1960,19,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,3.68
1960,20,840,United States of America,22974,Detroit,42.39,-83.10,3.55
1960,21,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,3.40
1960,22,276,Germany,204296,Berlin,52.52,13.41,3.26
1960,23,156,China,20689,Tianjin,39.11,117.19,2.94
1960,24,840,United States of America,22939,Boston,42.35,-71.06,2.82
1960,25,156,China,20666,Shenyang,41.79,123.43,2.70
1960,26,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,33.61,130.42,2.68
1960,27,360,Indonesia,21454,Jakarta,-6.21,106.84,2.68
1960,28,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,2.62
1960,29,724,Spain,22525,Barcelona,41.39,2.16,2.47
1960,30,380,Italy,21588,Roma (Rome),41.89,12.48,2.46
1965,1,392,Japan,21671,Tokyo,35.69,139.69,20.28
1965,2,840,United States of America,23083,New York-Newark,40.72,-74.00,15.18
1965,3,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,13.07
1965,4,826,United Kingdom,22860,London,51.51,-0.13,7.87
1965,5,250,France,20985,Paris,48.85,2.35,7.86
1965,6,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,7.41
1965,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,7.32
1965,8,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,6.97
1965,9,840,United States of America,22956,Chicago,41.85,-87.65,6.64
1965,10,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,6.62
1965,11,156,China,20656,Shanghai,31.22,121.46,6.43
1965,12,356,India,21211,Kolkata (Calcutta),22.53,88.36,6.26
1965,13,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,5.95
1965,14,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,5.52
1965,15,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,5.49
1965,16,356,India,21206,Mumbai (Bombay),19.07,72.88,4.85
1965,17,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,4.74
1965,18,156,China,20464,Beijing,39.91,116.40,4.58
1965,19,840,United States of America,23098,Philadelphia,39.95,-75.16,4.16
1965,20,840,United States of America,22974,Detroit,42.39,-83.10,3.76
1965,21,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,33.61,130.42,3.70
1965,22,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,3.68
1965,23,410,Republic of Korea,21758,Seoul,37.57,126.98,3.45
1965,24,360,Indonesia,21454,Jakarta,-6.21,106.84,3.30
1965,25,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,3.29
1965,26,276,Germany,204296,Berlin,52.52,13.41,3.23
1965,27,156,China,20689,Tianjin,39.11,117.19,3.12
1965,28,840,United States of America,22939,Boston,42.35,-71.06,3.00
1965,29,724,Spain,22525,Barcelona,41.39,2.16,2.93
1965,30,156,China,20666,Shenyang,41.79,123.43,2.92
1970,1,392,Japan,21671,Tokyo,35.69,139.69,23.30
1970,2,840,United States of America,23083,New York-Newark,40.72,-74.00,16.19
1970,3,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,15.27
1970,4,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,8.83
1970,5,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,8.38
1970,6,250,France,20985,Paris,48.85,2.35,8.21
1970,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,8.10
1970,8,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,7.62
1970,9,826,United Kingdom,22860,London,51.51,-0.13,7.51
1970,10,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,7.11
1970,11,840,United States of America,22956,Chicago,41.85,-87.65,7.11
1970,12,356,India,21211,Kolkata (Calcutta),22.53,88.36,6.93
1970,13,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,6.79
1970,14,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,6.60
1970,15,156,China,20656,Shanghai,31.22,121.46,6.04
1970,16,356,India,21206,Mumbai (Bombay),19.07,72.88,5.81
1970,17,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,5.58
1970,18,410,Republic of Korea,21758,Seoul,37.57,126.98,5.31
1970,19,156,China,20464,Beijing,39.91,116.40,4.43
1970,20,840,United States of America,23098,Philadelphia,39.95,-75.16,4.40
1970,21,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,33.61,130.42,4.07
1970,22,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,3.98
1970,23,840,United States of America,22974,Detroit,42.39,-83.10,3.97
1970,24,360,Indonesia,21454,Jakarta,-6.21,106.84,3.92
1970,25,608,Philippines,22109,Manila,14.60,120.98,3.53
1970,26,356,India,21228,Delhi,28.67,77.22,3.53
1970,27,724,Spain,22549,Madrid,40.42,-3.70,3.52
1970,28,724,Spain,22525,Barcelona,41.39,2.16,3.48
1970,29,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,3.47
1970,30,156,China,20689,Tianjin,39.11,117.19,3.32
1975,1,392,Japan,21671,Tokyo,35.69,139.69,26.61
1975,2,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,16.30
1975,3,840,United States of America,23083,New York-Newark,40.72,-74.00,15.88
1975,4,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,10.73
1975,5,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,9.61
1975,6,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,8.93
1975,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,8.74
1975,8,250,France,20985,Paris,48.85,2.35,8.56
1975,9,356,India,21211,Kolkata (Calcutta),22.53,88.36,7.89
1975,10,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,7.73
1975,11,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,7.62
1975,12,826,United Kingdom,22860,London,51.51,-0.13,7.55
1975,13,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,7.32
1975,14,840,United States of America,22956,Chicago,41.85,-87.65,7.16
1975,15,356,India,21206,Mumbai (Bombay),19.07,72.88,7.08
1975,16,410,Republic of Korea,21758,Seoul,37.57,126.98,6.81
1975,17,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,6.45
1975,18,156,China,20656,Shanghai,31.22,121.46,5.63
1975,19,608,Philippines,22109,Manila,14.60,120.98,5.00
1975,20,156,China,20464,Beijing,39.91,116.40,4.83
1975,21,360,Indonesia,21454,Jakarta,-6.21,106.84,4.81
1975,22,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,33.61,130.42,4.61
1975,23,840,United States of America,23098,Philadelphia,39.95,-75.16,4.47
1975,24,356,India,21228,Delhi,28.67,77.22,4.43
1975,25,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,4.33
1975,26,364,Iran (Islamic Republic of),21523,Tehran,35.69,51.42,4.27
1975,27,586,Pakistan,22044,Karachi,24.91,67.08,3.99
1975,28,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,3.91
1975,29,724,Spain,22549,Madrid,40.42,-3.70,3.89
1975,30,840,United States of America,22974,Detroit,42.39,-83.10,3.89
1980,1,392,Japan,21671,Tokyo,35.69,139.69,28.55
1980,2,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,17.03
1980,3,840,United States of America,23083,New York-Newark,40.72,-74.00,15.60
1980,4,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,13.03
1980,5,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,12.09
1980,6,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,9.51
1980,7,32,Argentina,20058,Buenos Aires,-34.61,-58.40,9.42
1980,8,356,India,21211,Kolkata (Calcutta),22.53,88.36,9.03
1980,9,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,8.78
1980,10,250,France,20985,Paris,48.85,2.35,8.67
1980,11,356,India,21206,Mumbai (Bombay),19.07,72.88,8.66
1980,12,410,Republic of Korea,21758,Seoul,37.57,126.98,8.26
1980,13,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,8.14
1980,14,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,7.78
1980,15,826,United Kingdom,22860,London,51.51,-0.13,7.66
1980,16,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,7.35
1980,17,840,United States of America,22956,Chicago,41.85,-87.65,7.22
1980,18,360,Indonesia,21454,Jakarta,-6.21,106.84,5.98
1980,19,156,China,20656,Shanghai,31.22,121.46,5.97
1980,20,608,Philippines,22109,Manila,14.60,120.98,5.95
1980,21,356,India,21228,Delhi,28.67,77.22,5.56
1980,22,156,China,20464,Beijing,39.91,116.40,5.37
1980,23,364,Iran (Islamic Republic of),21523,Tehran,35.69,51.42,5.08
1980,24,586,Pakistan,22044,Karachi,24.91,67.08,5.05
1980,25,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,33.61,130.42,4.73
1980,26,764,Thailand,22617,Krung Thep (Bangkok),13.72,100.53,4.72
1980,27,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,4.64
1980,28,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,4.62
1980,29,840,United States of America,23098,Philadelphia,39.95,-75.16,4.54
1980,30,604,Peru,22078,Lima,-12.04,-77.03,4.44
1985,1,392,Japan,21671,Tokyo,35.69,139.69,30.30
1985,2,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,17.58
1985,3,840,United States of America,23083,New York-Newark,40.72,-74.00,15.83
1985,4,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,14.28
1985,5,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,13.39
1985,6,356,India,21206,Mumbai (Bombay),19.07,72.88,10.39
1985,7,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,10.18
1985,8,32,Argentina,20058,Buenos Aires,-34.61,-58.40,9.96
1985,9,356,India,21211,Kolkata (Calcutta),22.53,88.36,9.95
1985,10,410,Republic of Korea,21758,Seoul,37.57,126.98,9.33
1985,11,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,9.24
1985,12,250,France,20985,Paris,48.85,2.35,8.96
1985,13,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,8.58
1985,14,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,8.33
1985,15,392,Japan,204583,Chukyo M.M.A. (Nagoya),35.18,136.91,8.02
1985,16,826,United Kingdom,22860,London,51.51,-0.13,7.85
1985,17,356,India,21228,Delhi,28.67,77.22,7.33
1985,18,840,United States of America,22956,Chicago,41.85,-87.65,7.29
1985,19,360,Indonesia,21454,Jakarta,-6.21,106.84,7.01
1985,20,608,Philippines,22109,Manila,14.60,120.98,6.89
1985,21,156,China,20656,Shanghai,31.22,121.46,6.85
1985,22,586,Pakistan,22044,Karachi,24.91,67.08,6.03
1985,23,156,China,20464,Beijing,39.91,116.40,6.02
1985,24,364,Iran (Islamic Republic of),21523,Tehran,35.69,51.42,5.84
1985,25,792,Turkey,22691,Istanbul,41.01,28.95,5.41
1985,26,764,Thailand,22617,Krung Thep (Bangkok),13.72,100.53,5.28
1985,27,604,Peru,22078,Lima,-12.04,-77.03,5.12
1985,28,344,"China, Hong Kong SAR",21137,Hong Kong,22.28,114.19,5.03
1985,29,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,33.61,130.42,4.96
1985,30,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),59.93,30.33,4.84
1990,1,392,Japan,21671,Tokyo,35.69,139.69,32.53
1990,2,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,18.39
1990,3,840,United States of America,23083,New York-Newark,40.72,-74.00,16.09
1990,4,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,15.64
1990,5,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,14.78
1990,6,356,India,21206,Mumbai (Bombay),19.07,72.88,12.44
1990,7,356,India,21211,Kolkata (Calcutta),22.53,88.36,10.89
1990,8,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,10.88
