country,country_code,y1950,y1955,y1960,y1965,y1970,y1975,y1980,y1985,y1990,y1995,y2000,y2005,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2014
WORLD,900,29.6,31.6,33.7,35.6,36.6,37.7,39.3,41.2,42.9,44.7,46.6,49.1,51.6,54,56.2,58.2,60,61.7,63.2,64.8,66.4,53.6
More developed regions,901,54.6,57.8,61,64,66.7,68.8,70.2,71.4,72.4,73.3,74.2,75.8,77.1,78.3,79.3,80.4,81.5,82.5,83.5,84.5,85.4,78.0
Less developed regions,902,17.6,19.7,21.9,24,25.3,26.9,29.4,32.2,34.8,37.4,39.9,43,46.1,49,51.6,54,56.2,58.1,59.8,61.6,63.4,48.4
Least developed countries,941,7.5,8.5,9.6,11,12.8,14.5,17,19,21.1,22.9,24.4,26.5,28.9,31.4,34,36.6,39.3,41.8,44.4,46.9,49.5,30.9
"Less developed regions, excluding least developed countries",934,19,21.1,23.4,25.6,26.9,28.5,31,34,36.8,39.5,42.4,45.7,49.1,52.2,55.1,57.6,59.9,61.9,63.7,65.5,67.3,51.6
"Less developed regions, excluding China",948,20.2,22.2,24.2,26.3,28.5,30.9,33.3,35.6,37.8,39.5,41.1,42.9,44.8,46.8,48.7,50.7,52.7,54.7,56.7,58.7,60.7,46.4
High-income countries,1503,56.6,59.6,62.6,65.4,68.2,70.3,71.8,73.1,74.4,75.5,76.4,78,79.3,80.4,81.4,82.3,83.2,84.2,85.1,85.9,86.7,80.2
Middle-income countries,1505,19,21.2,23.5,25.7,26.8,28.4,30.7,33.5,36.1,38.7,41.5,44.8,48.1,51.3,54.2,56.8,59.1,61.2,63,64.9,66.7,50.7
Upper-middle-income countries,1502,19.8,22.6,25.8,28.6,29.5,30.8,33.7,37.4,40.8,44.6,48.8,53.9,58.8,63.5,67.4,70.7,73.2,75.2,76.6,78,79.3,62.6
Lower-middle-income countries,1501,17.9,19.4,20.8,22.2,23.6,25.3,27.2,29,30.8,32.3,33.9,35.7,37.7,39.8,42.1,44.5,47.1,49.7,52.3,54.9,57.4,39.3
Low-income countries,1500,9,9.9,11.1,12.5,14.5,16.1,18.4,20.1,21.8,23.2,24.6,26.4,28.5,30.8,33.2,35.7,38.2,40.6,43.1,45.6,48.1,30.3
Sub-Saharan Africa,947,10.7,12.6,14.8,16.4,18.2,20.3,22.4,24.7,27.1,29.1,30.8,33,35.4,37.9,40.4,42.9,45.4,47.8,50.1,52.4,54.8,37.4
AFRICA,903,14,16.1,18.6,20.6,22.6,24.7,26.7,28.9,31.3,33.1,34.5,36.3,38.3,40.4,42.6,44.9,47.1,49.3,51.5,53.7,55.9,40.0
Eastern Africa,910,5.6,6.5,7.5,8.9,10.5,12.4,14.5,16.1,17.9,19.5,20.6,21.8,23.5,25.6,27.9,30.3,32.8,35.4,38.1,40.8,43.6,25.2
Burundi,108,1.7,1.9,2.1,2.3,2.8,3.5,4.3,5.2,6.3,7.2,8.2,9.4,10.6,12.1,13.6,15.4,17.3,19.3,21.5,23.8,26.3,11.8
Comoros,174,6.6,9.2,12.6,17,19.4,21.2,23.2,25.5,27.9,28.3,28.1,27.9,27.9,28.3,29,30.1,31.5,33.1,34.8,36.5,38.2,28.2
